X,Y
50,1
53.75,1.4
57.24375,2.0125
60.088048828125,2.9632804687500003
61.64541017349552,4.447529836851793
60.955706164555366,6.744474863682497
56.773421080389404,10.181169657562847
48.00026738693585,14.943251012403557
34.86829301999267,20.62172635341791
20.379012395264922,25.749997688766925
9.297925582855806,28.422593140664475
3.6209392437992314,28.22304538553489
1.428184852778902,26.4226801731415
0.6275915482292395,24.157776871758372
0.31132028833407965,21.89361135046977
0.17205418220992444,19.772409469405815
0.10421145689145729,17.829187779881018
0.06818246173728382,16.064849058230244
0.047617184005311605,14.4693175619695
0.03515419848635305,13.029275687340347
0.02721877474383394,11.730928456042774
0.021958114738690835,10.561028625430307
0.018356419254664993,9.507244765670434
0.015829086908247348,8.558265478812144
0.014025257397872819,7.703793626211409
0.012726590923967425,6.9344947404757455
0.011792938070703205,6.241927791206435
0.011131965180686057,5.618471118764626
0.010681546077185211,5.057249453136791
0.010399219608466223,4.552064700253687
0.01025569355706572,4.097331609433217
0.010230738478071643,3.6880186582637755
0.010310533466005172,3.3195941039813475
0.010485917160039361,2.987976961444239
0.010751216903698037,2.689492582088753
0.011103455641294764,2.420832477060987
0.01154181105482293,2.179018025415129
0.012067246801945354,1.9613677210169598
0.012682263773167871,1.7654676319988525
0.01339073699568467,1.5891447700608872
0.01419781520365431,1.4304430912514379
0.015109867557296442,1.2876018737929833
0.016134466968537618,1.1590362413514803
0.017280402866605794,1.0433196215358465
0.01855771856879702,0.9391679492160495
0.01997777006341708,0.8454254424393484
0.02155330419238839,0.7610517953463617
0.023298555090345643,0.6851106476202382
0.025229358395216145,0.61675920373988
0.02736328325987022,0.5552388877558391
